五都改制對照表在:,http://www.moi.gov.tw/chi/chi_news/news_detail.aspx?sn=4547&type_code=01,,,,,'日期（民國年被翻成西元年，應修正）,
county,town,vid,action,old,new,date,其他備註
嘉義市,西區,1002002-037,刪,"榮檜里
（併入國華里）",,,
嘉義市,西區,1002002-038,刪,"通運里
（併入番社里）",,,
嘉義市,西區,1002002-039,刪,"慶昇里
（併入番社里）",,,
嘉義市,西區,1002002-040,刪,"民生里
（併入番社里）",,,
嘉義市,西區,1002002-041,刪,"社內里
（併入番社里）",,,
嘉義市,西區,1002002-042,刪,"北杏里
（併入國華里）",,,
嘉義市,西區,1002002-043,刪,"華明里
（併入導明里及培元里）",,,
嘉義市,西區,1002002-044,刪,"導民里
（併入導明里及育英里）",,,
苗栗縣,竹南鎮,1000504-024,增,,"天文里
(由龍鳳里分割)",,
苗栗縣,竹南鎮,1000504-025,增,,"龍山里
(由龍鳳里分割)",,
苗栗縣,頭份鎮,1000505-032,增,,"文化里
(由合興里分割)",,
桃園縣,八德市,1000308-047,增,,"永豐里
(由茄苳里分割)",,
臺北縣,汐止市,1000111-047,增,,"建成里
(由橋東里分割)",40238,
臺北縣,汐止市,1000111-048,增,,"城中里
(由橋東里分割)",,
臺北縣,汐止市,1000111-049,增,,"湖蓮里
(由湖光里分割)",,
臺北縣,汐止市,1000111-050,增,,"保新里
(由保長里分割)",,
臺北縣,淡水鎮,1000110-042,增,,"大庄里
(由沙崙里分割)",,
臺北縣,三峽鎮,1000109-027,增,,"龍學里
(由龍埔里分割)",40301,
臺北縣,三峽鎮,1000109-028,增,,"龍恩里
(由龍埔里分割)",,
臺北市,文山區,6300800-040,增,,"政大里
(由萬興里分割)",40360,
臺北市,文山區,6300800-041,增,,"樟文里
(由樟新里分割)",,
臺北市,文山區,6300800-042,增,,"興邦里
(由興豐里分割)",,
臺北市,文山區,6300800-043,增,,"樟樹里
(由樟腳里分割)",,
臺北市,南港區,6300900-020,增,,"重陽里
(由東新里分割)",,
臺北市,內湖區,6301000-039,增,,"寶湖里
(由湖興里分割)",,
臺北市,內湖區,6301000-040,增,,"南湖里
(由葫洲里分割)",,
臺南市,東區,1002101-014,刪,"復國里
（併入後甲里）",,40386,
臺南市,東區,1002101-026,刪,"中興里
（併入後甲里）",,,
桃園縣,楊梅鎮,1000304,修,,楊梅市,40391,
新竹縣,寶山鄉,1000410-010,增,,"雙新村
（由雙溪村分割）",39845,
新竹縣,新豐鄉,1000406-014,增,,"忠孝村
（由員山村分割）",,
新竹縣,新豐鄉,1000406-015,增,,"山崎村
（由員山村分割）",,
新竹縣,新豐鄉,1000406-016,增,,"松柏村
（由松林村分割）",,
新竹縣,新豐鄉,1000406-017,增,,"崎頂村
（由重興村分割）",,
高雄縣,桃源鄉,1001226-007,修,梅蘭村,拉芙蘭村,39944,
臺北縣,淡水鎮,1000110-034,增,,"新義里
（由新興里分割）",39965,
臺北縣,淡水鎮,1000110-035,增,,"新春里
（由新興里分割）",,
臺北縣,淡水鎮,1000110-036,增,,"新民里
（由新興里分割）",,
臺北縣,淡水鎮,1000110-037,增,,"正德里
（由水碓里分割）",,
臺北縣,淡水鎮,1000110-038,增,,"北新里
（由水碓里分割）",,
臺北縣,淡水鎮,1000110-039,增,,"民權里
（由竹圍里分割）",,
臺北縣,淡水鎮,1000110-040,增,,"幸福里
（由鄧公里分割）",,
臺北縣,淡水鎮,1000110-041,增,,"學府里
（由鄧公里分割）",,
高雄市,小港區,6401100-039,刪,"海澄里
(併入鳳森里)",,39995,
高雄市,小港區,6401100-040,刪,"海昌里
(併入鳳森里)",,,
高雄市,小港區,6401100-041,刪,"海豐里
(併入鳳森里)",,,
高雄市,小港區,6401100-042,刪,"海原里
(併入鳳森里)",,,
高雄市,小港區,6401100-043,刪,"海城里
(併入鳳森里)",,,
高雄縣,岡山鎮,1001208-015,刪,復興里,,40178,
高雄縣,那瑪夏（原三民鄉）,1001227-001,修,民生村,達卡努瓦村,39539,
高雄縣,那瑪夏（原三民鄉）,1001227-002,修,民權村,瑪雅村,,
高雄縣,那瑪夏（原三民鄉）,1001227-003,修,民族村,南沙魯村,,
高雄縣,岡山鎮,1001208-014,刪,"仁愛里
（併入信義里）",,39326,
高雄縣,岡山鎮,1001208-019,刪,"四維里
（併入信義里）",,,
臺中縣,太平市,1000619-020,增,　,"永成里
（由長億里分割）",38740,
臺中縣,太平市,1000619-021,增,　,"永平里
（由中興里分割）",,
臺中縣,太平市,1000619-022,增,　,"成功里
（由東平里分割）",,
臺中縣,太平市,1000619-023,增,　,"東和里
（由東平里分割）",,
臺中縣,太平市,1000619-024,增,　,"中政里
（由中平里分割）",,
臺中縣,太平市,1000619-025,增,　,"平安里
（由中平里分割）",,
臺中縣,太平市,1000619-026,增,　,"建興里
（由建國里分割）",,
臺中縣,太平市,1000619-027,增,　,"新興里
（由新光里分割）",,
臺中縣,太平市,1000619-028,增,　,"新高里
（由新光里分割）",,
臺中縣,太平市,1000619-029,增,　,"新吉里
（由新坪里分割）",,
臺中縣,太平市,1000619-030,增,　,"新城里
（由新坪里分割）",,
臺中縣,太平市,1000619-031,增,　,"宜佳里
（由宜欣里分割）",,
臺中縣,太平市,1000619-032,增,　,"宜昌里
（由宜欣里分割）",,
臺中縣,太平市,1000619-033,增,　,"光明里
（由光華里分割）",,
臺中縣,太平市,1000619-034,增,　,"豐年里
（由中山里分割）",,
臺中縣,太平市,1000619-035,增,　,"大興里
（由坪林里分割）",,
臺中縣,太平市,1000619-036,增,　,"勤益里
（由坪林里分割）",,
臺中縣,太平市,1000619-037,增,　,"聖和里
（由頭汴里分割）",,
臺中縣,太平市,1000619-038,增,　,"福隆里
（由興隆里分割）",,
臺中縣,太平市,1000619-039,增,　,"永隆里
（由光隆里分割）",,
臺南縣,學甲鎮,1001113-001,刪,"一秀里
（併入秀昌里）",　,38749,
臺南縣,學甲鎮,1001113-002,刪,"西明里
（併入明宜里）",　,,
臺南縣,學甲鎮,1001113-003,刪,"宜民里
（併入明宜里）",　,,
臺南縣,學甲鎮,1001113-004,刪,"煥昌里
（併入秀昌里）",　,,
臺南縣,學甲鎮,1001113-005,刪,"慈生里
（併入慈福里）",　,,
臺南縣,學甲鎮,1001113-007,刪,"新生里
（併入新達里）",　,,
臺南縣,學甲鎮,1001113-008,刪,"百福里
（併入慈福里）",　,,
臺南縣,學甲鎮,1001113-010,刪,"文化里
（併入文安里）",　,,
臺南縣,學甲鎮,1001113-011,刪,"大安里
（併入文安里）",　,,
臺南縣,學甲鎮,1001113-012,刪,"美豐里
（併入豐和里）",　,,
臺南縣,學甲鎮,1001113-013,刪,"美和里
（併入豐和里）",　,,
臺南縣,學甲鎮,1001113-014,刪,"達明里
（併入新達里）",　,,
臺南縣,學甲鎮,1001113-015,刪,"光明里
（併入中洲里）",　,,
臺南縣,學甲鎮,1001113-016,刪,"民吉里
（併入中洲里）",　,,
臺南縣,學甲鎮,1001113-017,刪,"西進里
（併入中洲里）",　,,
臺南縣,學甲鎮,1001113-018,刪,"白渚里
（併入中洲里）",　,,
臺南縣,學甲鎮,1001113-020,刪,"頭港里
（併入光華里）",　,,
臺南縣,學甲鎮,1001113-022,刪,"平東里
（併入平和里）",　,,
臺南縣,學甲鎮,1001113-023,刪,"平西里
（併入平和里）",　,,
臺南縣,學甲鎮,1001113-024,刪,"頂洲里
（併入三興里）",　,,
臺南縣,學甲鎮,1001113-025,刪,"紅茄里
（併入三興里）",　,,
臺南縣,學甲鎮,1001113-026,刪,"新芳里
（併入三興里）",　,,
臺南縣,學甲鎮,1001113-027,增,　,"慈福里
（由慈生里及百福里合併）",,
臺南縣,學甲鎮,1001113-028,增,　,"秀昌里
（由一秀里及煥昌里合併）",,
臺南縣,學甲鎮,1001113-029,增,　,"明宜里
（由西明里及宜民里合併）",,
臺南縣,學甲鎮,1001113-030,增,　,"豐和里
（由美豐里及美和里合併）",,
臺南縣,學甲鎮,1001113-031,增,　,"平和里
（由平東里及平西里合併）",,
臺南縣,學甲鎮,1001113-032,增,　,"新達里
（由新生里及達明里合併）",,
臺南縣,學甲鎮,1001113-033,增,　,"文安里
（由文化里及大安里合併）",,
臺南縣,學甲鎮,1001113-034,增,　,"三興里
（由頂洲里、紅茄里及新芳里合併）",,
臺南縣,學甲鎮,1001113-035,增,　,"中洲里
（由光明里、民吉里、西進里及白渚里合併）",,
高雄縣,岡山鎮,1001208-036,增,,"仁義里
（由忠孝里分割）",38718,
臺南縣,學甲鎮,1001113-033,修,文安里,大灣里,38750,
高雄縣,旗山鎮,1001219-004,刪,"鼓山里
（併入湄洲里）",　,38749,
高雄縣,旗山鎮,1001219-005,刪,"和平里
（併入竹峰里）",　,,
高雄縣,旗山鎮,1001219-010,刪,"新山里
（併入湄洲里及竹峰里）",　,,
高雄縣,旗山鎮,1001219-024,刪,"糖廠里
（併入東昌里）",　,,
高雄縣,鳳山市,1001201-021,刪,"美齡里
（併入埤頂里及中正里）",　,38718,
高雄縣,鳳山市,1001201-079,增,　,"保安里
（由正義里分割）",,
臺南縣,學甲鎮,1001113-034,修,三興里,三慶里,38750,
苗栗縣,通霄鎮,1000503-024,增,,"平安里
（由平元里分割）",38749,
